confidence,entropy,margin,brightness,blur,failure
0.6937357,1.1129762,0.55891526,-0.24041185,1.1899795532226562,0
0.6843366,0.8685621,0.46629032,0.67175835,0.9337452054023743,0
0.8253815,0.5806707,0.679395,0.23211405,0.5966877937316895,0
0.9718778,0.17035627,0.9600766,0.6656302,0.7869492769241333,0
0.7595812,0.774034,0.6329233,-0.25957292,1.2453439235687256,0
0.85397774,0.5623457,0.7508262,-0.44896945,0.6645871996879578,0
0.511401,1.2382061,0.19442245,-0.882025,1.3426358699798584,1
0.77872807,0.6813778,0.595635,-0.662618,0.34086376428604126,0
0.6038074,1.2174647,0.38582927,0.7618663,0.5073627829551697,0
0.5433381,0.7217139,0.09133771,0.45788202,1.1608266830444336,1
0.97031623,0.17241944,0.958444,0.38424516,0.3175185024738312,0
0.9964966,0.024577817,0.9932368,0.22165358,1.768587350845337,0
0.37799862,1.5697591,0.122178435,-0.54525244,0.64261394739151,1
0.9604225,0.22238491,0.9416701,-0.92332214,1.9716672897338867,0
0.9868869,0.083014406,0.97732025,-0.21754651,1.54941987991333,0
0.93848956,0.3281198,0.9062536,0.1298863,1.2244744300842285,0
0.59108186,1.0654126,0.34805086,0.13743918,1.2414371967315674,0
0.89032006,0.5242652,0.8525156,0.20294377,0.9261234998703003,0
0.9898985,0.06742271,0.984005,0.3591792,0.8044863939285278,0
0.89374346,0.508442,0.84252775,-0.22997813,1.1154053211212158,0
0.9768411,0.14066696,0.9671183,-0.116733864,1.4222941398620605,0
0.8288328,0.5457435,0.68149036,1.8831606,1.298682451248169,0
0.644258,1.0508186,0.45332116,-0.79711556,0.15289367735385895,1
0.9566695,0.1802798,0.9135846,-0.44460544,2.1086177825927734,0
0.90675324,0.38890713,0.83546835,0.38403893,0.5892541408538818,1
0.3404268,1.5427835,0.03471595,-0.17445815,0.8016155958175659,1
0.500742,1.2606343,0.21121433,-0.46513057,0.5282113552093506,0
0.41152814,1.2690376,0.005628437,0.27295107,0.6067334413528442,1
0.9058028,0.4235831,0.8399839,0.14028448,1.5966755151748657,0
0.9339767,0.3148403,0.8969977,-0.8461479,0.7335382699966431,0
0.7590787,0.8815844,0.6609131,-1.1729238,0.6426103115081787,0
0.8548551,0.5842391,0.76615864,0.0794956,0.20356595516204834,0
0.5546893,1.3647695,0.38737112,0.13847882,0.7079128623008728,1
0.7376783,0.9609409,0.65748745,-0.046676233,0.5533822178840637,1
0.96903765,0.1927276,0.9597169,-0.41647518,0.5384944081306458,0
0.6926196,0.9131329,0.46628395,-0.63106704,1.2383577823638916,1
0.91243184,0.39299035,0.8574436,0.021462865,0.5847483277320862,0
0.7489368,0.76289034,0.55194086,0.87540764,2.7243597507476807,1
0.9967631,0.027117927,0.9954749,0.4355082,1.6497488021850586,0
0.93171555,0.30095118,0.875449,0.15651785,0.560652494430542,0
0.44540566,1.0561266,0.0011247694,0.2764244,1.2858657836914062,0
0.8914519,0.4504322,0.8134818,-1.3466549,1.0098910331726074,0
0.6121103,1.2534642,0.44396448,-0.6386319,0.7942224144935608,1
0.8375411,0.6312829,0.7415997,-0.49034554,0.6053551435470581,0
0.91688806,0.35431036,0.8521594,0.00015471256,0.43143707513809204,0
0.99431604,0.042232063,0.9911911,0.56637365,1.1263225078582764,0
0.834416,0.68646777,0.77461267,-0.2625026,0.3791690468788147,0
0.41916096,1.8376358,0.2968942,-0.2860504,1.2798374891281128,0
0.854697,0.5139705,0.7531351,-0.24815375,0.5157104730606079,0
0.69651145,0.8344693,0.45757267,-0.5989598,0.3020523190498352,0
0.883431,0.52014875,0.831195,-0.15334365,0.9381688833236694,0
0.98268753,0.11151609,0.9732918,-0.3988284,0.6549410820007324,0
0.3501725,1.6001202,0.1361332,-0.7908441,0.8486314415931702,1
0.5322201,1.2011402,0.23032242,-0.60198087,0.9270161390304565,0
0.9996377,0.0032805935,0.99928373,0.3224874,0.8378632068634033,0
0.9880768,0.069388956,0.9771783,0.14860588,0.14341093599796295,0
0.4096766,1.3903489,0.12636706,-0.024825398,2.8239152431488037,0
0.4797208,1.4796094,0.2502569,-1.3147025,0.5725501179695129,1
0.4230565,1.6952281,0.25748843,0.52032626,0.819541335105896,1
0.58726966,1.1875316,0.3360852,0.17285308,0.6356441378593445,0
0.97895765,0.11191374,0.9608743,0.44271523,0.8101564645767212,0
0.6526414,1.0422734,0.42596048,-0.46066296,0.5373954176902771,0
0.48563576,1.289571,0.13633147,-1.2078868,0.957427442073822,0
0.38490415,1.6644573,0.1411375,0.073239565,0.8375486135482788,0
0.47290817,1.0256809,0.03717619,-0.256298,0.8679289221763611,0
0.63782024,0.88939404,0.3285835,-0.6647379,1.4907954931259155,0
0.54724157,0.9951106,0.16384864,-0.07863883,0.8606139421463013,1
0.7775017,0.57548267,0.562145,0.8945071,1.0064961910247803,0
0.52994573,1.3177239,0.26423007,-0.8318526,1.2918682098388672,0
0.645688,1.2745507,0.5071964,-0.1014746,0.9604394435882568,0
0.719965,0.9532348,0.56959665,0.8405267,0.17612332105636597,0
0.5770501,1.3226726,0.37491608,-0.6075263,0.6386595964431763,0
0.9993919,0.005165845,0.99879235,0.79856217,0.6229897737503052,0
0.9978219,0.016465709,0.9958553,-0.008751571,0.473088800907135,0
0.4195028,1.4781585,0.16217795,0.23216641,1.2416913509368896,0
0.88354254,0.5699499,0.8415746,0.012621197,0.44487208127975464,0
0.78827506,0.8153143,0.7024247,0.29487163,1.3563613891601562,1
0.7665349,0.9431622,0.6688413,-0.40494797,0.6003677248954773,0
